sequence,distribution,n,time_ns,time_ms,comparisons,swaps,array_accesses
SHELL,random,10000,10703500,10,703500,266695,151724,658429
SHELL,random,10000,1919500,1,919500,264830,149879,654719
SHELL,random,10000,1861000,1,861000,263092,148136,651238
sequence,distribution,n,time_ns,time_ms,comparisons,swaps,array_accesses
SHELL,random,10000,10595500,10,595500,266695,151724,658429
SHELL,random,10000,2287800,2,287800,264830,149879,654719
SHELL,random,10000,1762900,1,762900,263092,148136,651238
sequence,distribution,n,time_ns,time_ms,comparisons,swaps,array_accesses
KNUTH,random,10000,10175200,10,175200,229065,158208,537759
KNUTH,random,10000,1560700,1,560700,244184,173201,567871
KNUTH,random,10000,1403800,1,403800,239350,168444,558280
sequence,distribution,n,time_ns,time_ms,comparisons,swaps,array_accesses
SEDGEWICK,random,10000,9853100,9,853100,195625,107364,489363
SEDGEWICK,random,10000,1847400,1,847400,196538,108285,491197
SEDGEWICK,random,10000,1267900,1,267900,198103,109876,494353
